tick,iso8601,date,location type,location coordinates,agent infected,age of agent infected,activity of agent infected,agent responsible,age of agent responsible,activity of agent responsible
4849,03/27/2020T16:10:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",be32c0a309604023bbad6f97320781d0,18,Work,66bb6f4c51e040aead44b827ae046f5b,42,Work
4849,03/27/2020T16:10:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",94c5b0eaccd64f849b4ff04a18e04aee,31,Work,aaaf36c000c141368d6d875604a245d3,30,Work
4850,03/27/2020T16:20:00 ,2020-03-27,Shop,"(4034128.885257571, 2953911.3275973205)",c52bcf5c3a4746848b54b94bff52a7b0,40,Work,615eab1c75244132b5292603fdebd480,41,Work
4851,03/27/2020T16:30:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",d7c7c5ad1dde4f12b5f8465de967f183,27,Work,fc0f719d30af4cc1ad9f08c988b03056,20,Work
4856,03/27/2020T17:20:00 ,2020-03-27,Car,"(4022914.9329312663, 2946984.466468268)",6c768c2ea747415598cfc1412d0c5a46,32,Car,1881604db9124ceabcfd80fe7703645f,34,Car
4866,03/27/2020T19:00:00 ,2020-03-27,Hospital,"(4042258.9607014074, 2950931.6351770703)",b064c55ac44e4a56ac8c95cf3d59bcb6,30,Medical,8e28919a526143c6b94acf542d4b9487,57,House
4893,03/27/2020T23:30:00 ,2020-03-27,Hospital,"(4063916.0352804908, 2972174.8520156243)",7ba7809806d44faa9b5794106b51b767,36,Work,099a55e8e3884abf93496c1d5040e6f0,65,House
4894,03/27/2020T23:40:00 ,2020-03-27,House,"(4022914.9329312663, 2946984.466468268)",b4602fb0d27f40b38345caae0ec5d20e,34,House,1881604db9124ceabcfd80fe7703645f,34,House
4906,03/28/2020T01:40:00 ,2020-03-28,House,"(4042578.3084793426, 2950853.3918797127)",e5cc8b5eec20420fbd532774bdcf9f9a,5,House,f92a48c097f04ae9bb9499165111c8fe,40,House
4916,03/28/2020T03:20:00 ,2020-03-28,House,"(4023416.085542858, 2944942.8617885783)",71791b090f3e4fb2ac7d14533d10f2b5,40,House,34ccd3775aea49f5828112f2d1ed227b,19,House
4938,03/28/2020T07:00:00 ,2020-03-28,Public Transport,"(4040947.231754568, 2951115.2407776113)",07fd69e1cbdb4d7f912a2bf404b96021,7,Public Transport,4c4d9c8a13274e30b9be19ab38a7b221,0,Public Transport
4943,03/28/2020T07:50:00 ,2020-03-28,Public Transport,"(4045151.407871268, 2975717.3097231872)",0987ee97c7264247b3215fada3d37dd0,0,Public Transport,05a2f573b050437ba893248890b76b26,4,Public Transport
4944,03/28/2020T08:00:00 ,2020-03-28,Hospital,"(4063916.0352804908, 2972174.8520156243)",e3c4855d1deb4f709397b266b88c0c9c,33,Work,250dc65b0a224af597404903fb53f77d,50,Outdoor
4945,03/28/2020T08:10:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",9406610d6b1d4c41baed1f969bcee45f,57,Work,641f5ef21c76483f8090c59528bff253,57,Work
4945,03/28/2020T08:10:00 ,2020-03-28,Hospital,"(4045102.858066724, 2979597.322526268)",18e737d38fb748bd936b840a4df959c2,36,Work,8d6989ebabae41d2accdbb0843f9d420,56,Work
4946,03/28/2020T08:20:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",3f359829ad1b4d22b04d7e3ebb168def,50,Work,7e20129c9a77432c92de844713cd8049,54,Work
